time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/explained_variance,train/n_updates,shield_cutoff_timestep
704,109.33333333333333,2048,2,0.20557722222222222,1,,,,,,,,,,,
548,96.30952380952381,4096,7,0.17462795238095238,2,-0.026665419340133667,-1.9407576769590378,0.00818621,-0.004647748974093702,0.0003,0.2,0.005014639764522144,0.044091796875,-0.03462553024291992,10,
514,93.18461538461538,6144,11,0.20856367692307692,3,-0.03534739091992378,-1.9245980836451053,0.006328239,-0.007530289359419839,0.0003,0.2,0.005330668466558564,0.056103515625,0.37058496475219727,20,
496,85.71578947368421,8192,16,0.24455178947368422,4,-0.008413808420300484,-1.9071429822593928,0.010200414,-0.010412490130693185,0.0003,0.2,0.008595723508187802,0.09951171875,0.504091203212738,30,
490,74.26,10240,20,0.33849217000000004,5,-0.018149174749851227,-1.899758917838335,0.011374971,-0.012430453005072195,0.0003,0.2,0.012056434692931361,0.110595703125,0.548376202583313,40,
486,39.65,12288,25,0.27372657,6,-0.021154625341296196,-1.855446333810687,0.012041405,-0.016055716438859235,0.0003,0.2,0.011728858688729814,0.162646484375,0.6850902438163757,50,11359
486,28.4,14336,29,0.0,7,-0.02411399409174919,-1.8148091167211533,0.011517705,-0.012744738430774305,0.0003,0.2,0.016268050207872874,0.13125,0.5892413854598999,60,
485,36.26,16384,33,0.0,8,-0.024323487654328346,-1.7810911241918803,0.017195148,-0.020442493248265237,0.0003,0.2,0.006759686501027318,0.186328125,0.22484445571899414,70,
485,43.23,18432,37,0.00767969,9,-0.041651975363492966,-1.7512404128909111,0.014747758,-0.01647059911629185,0.0003,0.2,0.0031571560593874892,0.139990234375,0.3851052522659302,80,
485,55.91,20480,42,0.03607813,10,0.001391686499118805,-1.708383434638381,0.013063399,-0.014849776901246513,0.0003,0.2,0.0038533422895852707,0.151123046875,0.21496552228927612,90,
485,61.47,22528,46,0.04837891,11,-0.015432079322636127,-1.6670969355851413,0.0140570495,-0.013651028810272692,0.0003,0.2,0.006962046489570639,0.14638671875,0.2784927487373352,100,
485,71.28,24576,50,0.07821484999999999,12,-0.023523125797510147,-1.6859944835305214,0.011289721,-0.014088695839745924,0.0003,0.2,0.0037754196648165815,0.12509765625,0.15643781423568726,110,
485,81.47,26624,54,0.09859767,13,-0.012332512065768242,-1.6643993005156517,0.012779293,-0.012385387407266534,0.0003,0.2,0.005298178051816649,0.119140625,0.19993311166763306,120,
486,85.18,28672,58,0.11574608999999998,14,-0.031807538121938705,-1.6662123780697584,0.012677771,-0.013555170127074235,0.0003,0.2,0.0044299357101408535,0.138720703125,0.308360755443573,130,
486,86.18,30720,63,0.17521092,15,-0.029136601835489273,-1.6715987123548985,0.014445535,-0.016155148250982167,0.0003,0.2,0.006823751956835622,0.16357421875,0.35070091485977173,140,
486,88.33,32768,67,0.2643788899999999,16,-0.017449907958507538,-1.636003141105175,0.0182838,-0.01594834678398911,0.0003,0.2,0.008571391562873032,0.163330078125,0.3612901568412781,150,
486,76.49,34816,71,0.33219920000000003,17,-0.01148282177746296,-1.576175246015191,0.013591539,-0.01268577518494567,0.0003,0.2,0.015405134315369651,0.1435546875,0.38520169258117676,160,
486,75.03,36864,75,0.43342578000000004,18,0.004221234004944563,-1.52787896245718,0.015783519,-0.017655790832941422,0.0003,0.2,0.014664411796547937,0.2017578125,0.44461315870285034,170,
486,57.56,38912,80,0.46262498999999996,19,-0.026473648846149445,-1.480836745724082,0.017304517,-0.019768361446040217,0.0003,0.2,0.014073806682426948,0.197705078125,0.3687261939048767,180,
486,35.72,40960,84,0.47163282,20,-0.02415642887353897,-1.3316011697053909,0.016440447,-0.022493354658945464,0.0003,0.2,0.018547433201456444,0.192041015625,0.4499950408935547,190,
486,34.89,43008,88,0.55857428,21,0.007341314107179642,-1.2722703743726016,0.013575678,-0.015450875044916757,0.0003,0.2,0.02162333093583584,0.1708984375,0.5250027179718018,200,
486,36.67,45056,92,0.6304531600000001,22,0.010762042365968227,-1.2134937565773725,0.016084097,-0.017421644103887957,0.0003,0.2,0.021388968790415675,0.18681640625,0.5099174976348877,210,
486,31.06,47104,96,0.63983984,23,-0.020615823566913605,-1.0818300409242512,0.017002024,-0.014122513252368662,0.0003,0.2,0.01835652554582339,0.18359375,0.49056434631347656,220,
485,27.4,49152,101,0.67442972,24,-0.0035611065104603767,-1.0167402096092701,0.017228745,-0.013904244144214317,0.0003,0.2,0.022926959145115687,0.172509765625,0.42254751920700073,230,
485,24.49,51200,105,0.70096882,25,-0.019213588908314705,-0.8853942003101111,0.01741597,-0.01177591047162423,0.0003,0.2,0.023769473773427308,0.181298828125,0.37198901176452637,240,
485,26.3,53248,109,0.61942191,26,-0.01728350669145584,-0.8395023981109262,0.012655089,-0.009599364436871838,0.0003,0.2,0.023219619324663654,0.12666015625,0.3749951720237732,250,
485,23.42,55296,113,0.65409772,27,-0.02256987988948822,-0.8648344926536083,0.020129245,-0.010734076965309213,0.0003,0.2,0.025055960682220758,0.19375,0.3604058623313904,260,
485,23.73,57344,118,0.6905469,28,0.013215640559792519,-0.7526568794623018,0.012245571,-0.01208911992580397,0.0003,0.2,0.02315801788645331,0.121044921875,0.40172624588012695,270,
485,23.09,59392,122,0.7225156699999999,29,0.0063624209724366665,-0.7366689072921873,0.011680327,-0.009684399660181952,0.0003,0.2,0.0144466133453534,0.099365234375,0.420609712600708,280,
485,21.22,61440,126,0.6895469000000002,30,-0.013299787417054176,-0.6960801918059587,0.011406976,-0.009322019705723505,0.0003,0.2,0.018761034253111576,0.10078125,0.3475726246833801,290,
484,21.94,63488,130,0.6976132899999999,31,-0.006442396901547909,-0.642289387062192,0.009458819,-0.007443949307344155,0.0003,0.2,0.02205634793645004,0.090234375,0.3216010332107544,300,
484,23.95,65536,135,0.7700899099999999,32,0.004823051393032074,-0.6319996122270822,0.014470706,-0.009211141181731363,0.0003,0.2,0.022761068832187446,0.105029296875,0.3078644871711731,310,
484,22.05,67584,139,0.74596101,33,-0.021043401211500168,-0.6717153246514499,0.017877765,-0.011786754810600542,0.0003,0.2,0.012974880481488071,0.134814453125,0.3687269687652588,320,
483,20.11,69632,143,0.66390626,34,-0.01573256403207779,-0.5972623899579048,0.01601765,-0.00849954745717696,0.0003,0.2,0.016478758224548074,0.104638671875,0.31314677000045776,330,
483,21.05,71680,148,0.6946446000000001,35,-0.004124944098293781,-0.5414157165214419,0.010339755,-0.007850744419556577,0.0003,0.2,0.02186930299794767,0.1005859375,0.30761289596557617,340,
483,21.21,73728,152,0.70077737,36,0.05231783539056778,-0.5635272016748786,0.011656677,-0.007573890480853151,0.0003,0.2,0.022869606848689727,0.0935546875,0.29430121183395386,350,
483,22.83,75776,156,0.6885625099999999,37,0.010944264009594917,-0.5896136372350156,0.01635145,-0.005558173834288027,0.0003,0.2,0.022523683070903643,0.101708984375,0.33036327362060547,360,
483,26.2,77824,160,0.68836716,38,0.04125891253352165,-0.683845494594425,0.019850658,-0.00655268641130533,0.0003,0.2,0.026309087246772833,0.13388671875,0.3298567533493042,370,
483,22.49,79872,165,0.687543,39,-0.045883432030677795,-0.7568424118682742,0.020162506,-0.011018051662540529,0.0003,0.2,0.020574727190250997,0.1845703125,0.425091028213501,380,
483,20.84,81920,169,0.6037656100000001,40,0.0035993196070194244,-0.7292910672724247,0.012239773,-0.010327959185815416,0.0003,0.2,0.023550199130841065,0.162548828125,0.415432333946228,390,
483,22.36,83968,173,0.5695469,41,-0.04365050792694092,-0.7048048997297883,0.01838008,-0.015555675441282802,0.0003,0.2,0.02621283175976714,0.1890625,0.32962918281555176,400,
483,23.36,86016,178,0.64339457,42,-0.006091566756367683,-0.688676580041647,0.012114868,-0.009043115997337736,0.0003,0.2,0.027938313339836894,0.110546875,0.35164874792099,410,
482,26.75,88064,182,0.66495706,43,-0.007058507762849331,-0.6783427812159062,0.015050957,-0.005505823859130033,0.0003,0.2,0.02253786879591644,0.125048828125,0.3481343388557434,420,
482,21.01,90112,186,0.63619145,44,-0.04045069217681885,-0.6604004329070449,0.01600324,-0.010421086882706732,0.0003,0.2,0.020144321271800436,0.139892578125,0.34021055698394775,430,
482,20.41,92160,190,0.63773833,45,0.02514357678592205,-0.580078417994082,0.016264569,-0.008250026739551686,0.0003,0.2,0.03227503416710533,0.099267578125,0.2842639684677124,440,
482,23.04,94208,195,0.73501176,46,0.018256360664963722,-0.5906407791189849,0.015478382,-0.005370146978384583,0.0003,0.2,0.03301205189200118,0.084423828125,0.29632294178009033,450,
482,22.1,96256,199,0.73631255,47,0.007315436378121376,-0.5498829069547355,0.015227348,-0.009786903631174937,0.0003,0.2,0.016385656552301953,0.104296875,0.3366609215736389,460,
482,24.37,98304,203,0.77646879,48,0.024470282718539238,-0.5910213250666857,0.008033373,-0.005702618022041861,0.0003,0.2,0.0188954605939216,0.09453125,0.28476983308792114,470,
482,25.37,100352,208,0.6755391500000001,49,0.002034164033830166,-0.6028010533191264,0.017626738,-0.008684072762844153,0.0003,0.2,0.009376900817733258,0.113134765625,0.38132917881011963,480,
482,21.53,102400,212,0.6893359899999999,50,-0.0011575249955058098,-0.5797631423920393,0.01913825,-0.011111394921317696,0.0003,0.2,0.025977438149857333,0.14755859375,0.23476123809814453,490,
482,23.58,104448,216,0.7064883199999998,51,-0.002664117142558098,-0.5893514192663133,0.019617422,-0.008702993420592975,0.0003,0.2,0.023151724676426965,0.117529296875,0.2707403898239136,500,
482,22.61,106496,220,0.70715628,52,-0.015251923352479935,-0.6166743079200387,0.012221634,-0.010835706014040625,0.0003,0.2,0.02277304634335451,0.100830078125,0.2929036021232605,510,
482,21.31,108544,225,0.7126055299999998,53,0.007307900115847588,-0.576037082541734,0.028063772,-0.008659254747908563,0.0003,0.2,0.019635529498918912,0.126318359375,0.3068019151687622,520,
482,21.76,110592,229,0.7391250599999999,54,0.0030172965489327908,-0.5826304637826979,0.01227225,-0.005550223866885062,0.0003,0.2,0.02858304194669472,0.08271484375,0.28881657123565674,530,
482,23.57,112640,233,0.7531132899999998,55,0.019462505355477333,-0.601524727139622,0.01275952,-0.004198554078902817,0.0003,0.2,0.020127618906553835,0.08505859375,0.27923494577407837,540,
482,20.7,114688,237,0.6849961199999999,56,-0.01607849821448326,-0.5880033259280026,0.021761566,-0.01650198734278092,0.0003,0.2,0.017808890961896397,0.1736328125,0.26718318462371826,550,
481,20.73,116736,242,0.6647148700000001,57,-0.030629735440015793,-0.6339559655636549,0.026505735,-0.010104393890651408,0.0003,0.2,0.02479388793144608,0.135888671875,0.3020991086959839,560,
481,22.01,118784,246,0.7267344399999999,58,0.00977669470012188,-0.5964523266069591,0.0114211785,-0.007807855126156937,0.0003,0.2,0.030007469782140105,0.103662109375,0.267650842666626,570,
481,20.93,120832,250,0.6894766,59,-0.03789757937192917,-0.5875422252342105,0.016329128,-0.012910381665278692,0.0003,0.2,0.01782922194543062,0.13505859375,0.36957818269729614,580,
481,20.16,122880,255,0.71292191,60,0.013501840643584728,-0.5867810872383415,0.016173778,-0.009136980518815108,0.0003,0.2,0.01759418598812772,0.122119140625,0.3858499526977539,590,
481,22.88,124928,259,0.7731484499999999,61,0.009480055421590805,-0.5425707527436316,0.022665467,-0.007344241692044307,0.0003,0.2,0.019167214843764668,0.11611328125,0.34103286266326904,600,
481,23.77,126976,263,0.7334297399999999,62,-0.013527339324355125,-0.5697851973585785,0.016089028,-0.008067336029489525,0.0003,0.2,0.015658535409602336,0.10517578125,0.3768065571784973,610,
481,20.93,129024,267,0.7308477099999999,63,0.026887020096182823,-0.564232612773776,0.018747436,-0.009500498583656735,0.0003,0.2,0.018064209904696326,0.110205078125,0.3771848678588867,620,
481,21.29,131072,272,0.757543,64,0.016617605462670326,-0.5585394847206772,0.009941954,-0.00922331321562524,0.0003,0.2,0.021507428312906994,0.081982421875,0.2629828453063965,630,
481,21.09,133120,276,0.7789844300000003,65,-0.0007058614864945412,-0.5618891614489258,0.013544189,-0.008616529747814638,0.0003,0.2,0.013022073158208514,0.093505859375,0.344662606716156,640,
481,21.03,135168,280,0.68351954,66,0.016789695248007774,-0.5160266356542706,0.017831536,-0.007437720353482291,0.0003,0.2,0.014909022992651445,0.11884765625,0.288366436958313,650,
481,21.83,137216,285,0.74870314,67,0.01920187659561634,-0.540133651625365,0.023118157,-0.01014698269573273,0.0003,0.2,0.02506221005169209,0.127490234375,0.30586516857147217,660,
481,22.75,139264,289,0.81409769,68,-0.016749735921621323,-0.5403272593393922,0.01338256,-0.008886062157398556,0.0003,0.2,0.019734056950255763,0.109375,0.2820476293563843,670,
481,19.46,141312,293,0.7270352,69,-0.016996121034026146,-0.4875100849196315,0.016610477,-0.00830490070329688,0.0003,0.2,0.017711255655740388,0.103466796875,0.35374975204467773,680,
481,19.79,143360,297,0.7147852399999999,70,-0.011068189516663551,-0.5283016838133335,0.018738117,-0.008816279472375755,0.0003,0.2,0.026763227113406174,0.10283203125,0.2728140950202942,690,
481,23.65,145408,302,0.7894922099999999,71,-0.0029700370505452156,-0.6148854988627136,0.015777748,-0.003153675801877398,0.0003,0.2,0.021616449224529787,0.096533203125,0.32131731510162354,700,
481,24.11,147456,306,0.7674882900000002,72,-0.01672167144715786,-0.703834124095738,0.009981483,-0.006080389112321427,0.0003,0.2,0.013466569405863993,0.1080078125,0.3189263343811035,710,
481,24.7,149504,310,0.72741799,73,-0.0039313905872404575,-0.697470379807055,0.017096385,-0.010051726820529438,0.0003,0.2,0.01277843202187796,0.13681640625,0.3412870764732361,720,
480,23.22,151552,315,0.69546874,74,0.04267418384552002,-0.7451026119291783,0.022951178,-0.009196592705848161,0.0003,0.2,0.017033422355598304,0.170361328125,0.31242161989212036,730,
480,21.36,153600,319,0.6029570799999999,75,-0.0018814578652381897,-0.7348226806148886,0.022231227,-0.011648709677683656,0.0003,0.2,0.02417784936260432,0.141552734375,0.2616402506828308,740,
480,23.19,155648,323,0.7634648799999998,76,-0.00838701892644167,-0.6962205927819014,0.015685681,-0.014803647116059438,0.0003,0.2,0.024320909281959756,0.162890625,0.3522418141365051,750,
480,22.28,157696,327,0.7282461100000001,77,0.007428394630551338,-0.6247835911810398,0.013656905,-0.012747403353569099,0.0003,0.2,0.016734486797213323,0.122802734375,0.24030452966690063,760,
480,24.24,159744,332,0.70381644,78,-0.031680863350629807,-0.667302654311061,0.02084906,-0.00749767485394841,0.0003,0.2,0.02443148264865158,0.110400390625,0.27727508544921875,770,
480,23.28,161792,336,0.6793710700000001,79,-0.005423136055469513,-0.7190554106608034,0.018121563,-0.011236389874829911,0.0003,0.2,0.03130733978468925,0.12685546875,0.2545433044433594,780,
480,23.52,163840,340,0.6252773699999999,80,0.02132037654519081,-0.7229219449684023,0.012127438,-0.007871724897995591,0.0003,0.2,0.029734341632865834,0.107763671875,0.3068799376487732,790,
480,22.15,165888,344,0.6920429899999999,81,0.018500521779060364,-0.7245666602626443,0.019380178,-0.008503486348490696,0.0003,0.2,0.03357012307969853,0.12236328125,0.33174431324005127,800,
480,22.42,167936,349,0.6786328400000001,82,-1.253560185432434e-05,-0.6904721807688474,0.014250929,-0.008756538965826621,0.0003,0.2,0.02820803555805469,0.110791015625,0.32091236114501953,810,
480,23.45,169984,353,0.7309688200000001,83,-0.0117750633507967,-0.6992368217557668,0.021179507,-0.009476995248405728,0.0003,0.2,0.023555121336539742,0.125830078125,0.3031965494155884,820,
480,23.41,172032,357,0.7405117400000001,84,-0.005080899223685265,-0.6669318506494164,0.014675018,-0.01128829975350527,0.0003,0.2,0.014836685017507989,0.128955078125,0.3977835774421692,830,
480,25.59,174080,362,0.7930234999999999,85,-0.0035515367053449154,-0.7110552918165922,0.013279481,-0.010083453202969394,0.0003,0.2,0.013068533383193425,0.122509765625,0.3974778652191162,840,
480,26.2,176128,366,0.6666445700000001,86,-0.03687363117933273,-0.7301594784483314,0.02430613,-0.015154033379803877,0.0003,0.2,0.011358990994631312,0.165185546875,0.3494507074356079,850,
480,24.32,178176,370,0.6571563000000001,87,0.0002504941076040268,-0.8158836174756289,0.022148676,-0.014521933747164439,0.0003,0.2,0.028884401742834596,0.1740234375,0.19742202758789062,860,
480,27.7,180224,374,0.72010548,88,0.013358350843191147,-0.7790204340592026,0.024345739,-0.011937903794751037,0.0003,0.2,0.03207832801272161,0.139404296875,0.2689504623413086,870,
480,24.6,182272,379,0.73959764,89,0.010827561840415001,-0.7491786796599627,0.06688477,-0.022084987253765575,0.0003,0.2,0.016040743110352196,0.21337890625,0.36364710330963135,880,
480,19.35,184320,383,0.66601562,90,-0.0005255527794361115,-0.6112550094723701,0.012912061,-0.010644677862001118,0.0003,0.2,0.0189146556193009,0.107763671875,0.3553297519683838,890,
480,22.9,186368,387,0.7158906099999999,91,-0.010350551456212997,-0.6124554356560111,0.022440214,-0.014225490632816218,0.0003,0.2,0.02037524954503169,0.13515625,0.3214164972305298,900,
480,21.56,188416,392,0.7094062700000001,92,0.002750817686319351,-0.6558593468740582,0.018659716,-0.013725561278988607,0.0003,0.2,0.021076257864478976,0.096484375,0.29578572511672974,910,
480,24.52,190464,396,0.7573125400000003,93,-0.013313669711351395,-0.6897710379213094,0.017285492,-0.010342506704910192,0.0003,0.2,0.018770474498160182,0.11845703125,0.35736823081970215,920,
480,21.55,192512,400,0.69228907,94,-0.03812198340892792,-0.6894777314737439,0.017241213,-0.009154046242474578,0.0003,0.2,0.016682967813540017,0.12421875,0.24391639232635498,930,
480,21.09,194560,404,0.77807036,95,0.0012840256094932556,-0.6713691178709269,0.0148984315,-0.01039539476041682,0.0003,0.2,0.024206715548643842,0.10234375,0.2733634114265442,940,
480,23.57,196608,409,0.73146095,96,0.00116443308070302,-0.629288727696985,0.015962236,-0.005859295001573628,0.0003,0.2,0.00988650804720237,0.093896484375,0.39188152551651,950,
480,21.6,198656,413,0.6795117500000001,97,-0.012663519009947777,-0.6758960099890828,0.01906883,-0.007827228650421602,0.0003,0.2,0.014332333521451801,0.103369140625,0.32928359508514404,960,
480,22.1,200704,417,0.72968751,98,0.002700522541999817,-0.6899305280297995,0.015807837,-0.009742014161020052,0.0003,0.2,0.02273694173345575,0.11474609375,0.3021840453147888,970,
