time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/n_updates
2048,1,781,200.0,0.0,2,,,,,,,,,,
4096,2,572,200.0,0.0,7,0.2,0.1041015625,0.0003,-0.009104290998948272,0.0133723095,-1.934808060899377,-0.017072049900889397,-3.160111427307129,1.5008059344978619e-05,10
6144,3,522,200.0,0.0,11,0.2,0.06494140625,0.0003,-0.0040291714845807295,0.012054937,-1.9053284041583538,0.005252191796898842,-3.0937743186950684,1.970973578693247e-05,20
8192,4,493,200.0,0.0,16,0.2,0.04736328125,0.0003,-0.003233434434514493,0.012392655,-1.886142237856984,0.0052543566562235355,-2.439349889755249,1.4631750716631586e-05,30
10240,5,483,200.0,0.0,21,0.2,0.056884765625,0.0003,-0.004127786898607155,0.0120130945,-1.8722218118607998,0.0009303496335633099,-3.283353805541992,1.3972192080302648e-05,40
12288,6,474,200.0,0.0,25,0.2,0.053466796875,0.0003,-0.0032607261869998182,0.013321367,-1.9123330768197775,0.00513568427413702,-5.201535224914551,9.667314931505188e-06,50
14336,7,474,200.0,0.0,30,0.2,0.09814453125,0.0003,-0.0071465515808085914,0.015358112,-1.8923334449529647,-0.00687674805521965,-3.125152111053467,1.6693991515381867e-05,60
16384,8,470,200.0,0.0,34,0.2,0.05390625,0.0003,-0.0050468634639400985,0.011261608,-1.8627989746630191,0.021115737035870552,-5.160887241363525,4.594147860998987e-05,70
18432,9,469,200.0,0.0,39,0.2,0.0755859375,0.0003,-0.006704151502344757,0.011056192,-1.8673037078231574,-0.03212238848209381,-4.38273811340332,2.3537206353552164e-05,80
20480,10,466,200.0,0.0,43,0.2,0.061962890625,0.0003,-0.005297989627433708,0.008244984,-1.862970508262515,-0.017222080379724503,-4.916924953460693,7.87330917574991e-05,90
22528,11,464,200.0,0.0,48,0.2,0.102490234375,0.0003,-0.004452893249253975,0.009692317,-1.8609494406729936,-0.014760843478143215,-5.932942867279053,3.0838604141081304e-05,100
24576,12,459,200.0,0.0,53,0.2,0.083447265625,0.0003,-0.006916555533825886,0.009795697,-1.8599416334182024,-0.0010830938117578626,-2.9764864444732666,2.4582808441664385e-05,110
26624,13,457,200.0,0.0,58,0.2,0.121240234375,0.0003,-0.010115557820245157,0.009302271,-1.866292618960142,-0.038419459015131,-4.3976593017578125,1.7056901783973898e-05,120
28672,14,457,200.0,0.0,62,0.2,0.064453125,0.0003,-0.005262693836994003,0.0126850065,-1.8633112367242575,-0.001011425512842834,-3.0009379386901855,3.122368235182193e-05,130
30720,15,456,200.0,0.0,67,0.2,0.057958984375,0.0003,-0.004345826089411276,0.008924147,-1.881156823039055,-0.0018594465218484402,-10.221843719482422,5.7653443923300075e-05,140
32768,16,455,200.0,0.0,71,0.2,0.120458984375,0.0003,-0.011306827286171028,0.011705639,-1.864889283105731,-0.024292990565299988,-5.65732479095459,3.099808982938157e-05,150
34816,17,455,200.0,0.0,76,0.2,0.11796875,0.0003,-0.013973587269720155,0.01217544,-1.899012717977166,-0.050462063401937485,-3.9193944931030273,5.7523402762171824e-05,160
36864,18,450,200.0,0.0,81,0.2,0.120166015625,0.0003,-0.011819284992816393,0.012464063,-1.8861517403274775,-0.04013035073876381,-4.2797017097473145,6.431557387713838e-05,170
38912,19,450,200.0,0.0,86,0.2,0.080810546875,0.0003,-0.011355392093537375,0.008764254,-1.8912464398890734,-0.03655312955379486,-3.527602195739746,4.780730570246306e-05,180
40960,20,447,200.0,0.0,91,0.2,0.13798828125,0.0003,-0.016301883246342186,0.015292203,-1.8961606577038765,-0.03860720247030258,-3.442103385925293,7.155928885822504e-05,190
43008,21,447,200.0,0.0,96,0.2,0.153515625,0.0003,-0.01838563704950502,0.018870482,-1.874251726642251,-0.005245788022875786,-2.520296812057495,0.0001160175740892555,200
45056,22,447,200.0,0.0,100,0.2,0.157177734375,0.0003,-0.016282142426643987,0.016265552,-1.847794771194458,-0.011183003894984722,-3.0225162506103516,7.132950319146402e-05,210
47104,23,447,200.0,0.0,105,0.2,0.14033203125,0.0003,-0.01782215279963566,0.013734028,-1.8174717474728823,-0.050147660076618195,-1.467160701751709,5.3106249652046245e-05,220
49152,24,448,200.0,0.0,109,0.2,0.145654296875,0.0003,-0.015378376148510143,0.017883822,-1.8078053448349238,-0.02540844865143299,-5.981039047241211,6.468167434263705e-05,230
51200,25,448,200.0,0.0,114,0.2,0.157568359375,0.0003,-0.018127022455155385,0.014920225,-1.8256785672158002,-0.006819198373705149,-6.850210189819336,5.0634593378617865e-05,240
53248,26,449,200.0,0.0,118,0.2,0.17216796875,0.0003,-0.016125728098268156,0.013334747,-1.8310798194259406,-0.008360126055777073,-5.091249465942383,5.726746366292445e-05,250
55296,27,449,200.0,0.0,122,0.2,0.15693359375,0.0003,-0.021975012407347096,0.013484249,-1.809133855253458,-0.04263019934296608,-4.105564594268799,5.8658655177623586e-05,260
57344,28,449,200.0,0.0,127,0.2,0.1357421875,0.0003,-0.015581933167413808,0.014150855,-1.802894377335906,-0.033825334161520004,-2.2279629707336426,5.5561928519409776e-05,270
59392,29,449,200.0,0.0,131,0.2,0.1224609375,0.0003,-0.014114359182713088,0.012081001,-1.7925589878112078,-0.009238729253411293,-4.560646057128906,6.456747182710387e-05,280
61440,30,450,200.0,0.0,136,0.2,0.166259765625,0.0003,-0.019551915413467215,0.013389744,-1.8065315455198288,-0.02495848387479782,-3.567049980163574,6.070631298484841e-05,290
63488,31,449,200.0,0.0,141,0.2,0.143115234375,0.0003,-0.0161867864037049,0.0127919195,-1.78540401160717,-0.04773596674203873,-6.086330890655518,3.34161634469865e-05,300
65536,32,449,200.0,0.0,145,0.2,0.197314453125,0.0003,-0.02449024851521244,0.016376214,-1.7773015428334475,-0.0288798026740551,-4.958254814147949,6.15635429539907e-05,310
67584,33,449,200.0,0.0,150,0.2,0.129296875,0.0003,-0.01509042082252563,0.015715163,-1.7642920099198818,0.020071465522050858,-3.5511579513549805,0.00016473188027248397,320
69632,34,449,200.0,0.0,154,0.2,0.154345703125,0.0003,-0.018620973678480368,0.015226796,-1.7453756105154752,-0.03336714208126068,-3.5947813987731934,7.508112682330648e-05,330
71680,35,449,200.0,0.0,159,0.2,0.158984375,0.0003,-0.01956810767733259,0.017982733,-1.7460807330906392,-0.026120783761143684,-1.7110419273376465,9.456166083054995e-05,340
73728,36,448,200.0,0.0,164,0.2,0.17109375,0.0003,-0.01611737195344176,0.017506536,-1.7170065235346557,-0.008892291225492954,-4.086339950561523,7.245979415415604e-05,350
75776,37,448,200.0,0.0,169,0.2,0.185693359375,0.0003,-0.02168232875992544,0.01968625,-1.71543145775795,-0.030280698090791702,-4.949584007263184,5.8226267350391935e-05,360
77824,38,445,200.0,0.0,174,0.2,0.176611328125,0.0003,-0.016244961330812657,0.015920818,-1.6857502546161414,-0.02641325443983078,-1.7407593727111816,7.297856819263871e-05,370
79872,39,444,200.0,0.0,179,0.2,0.18056640625,0.0003,-0.020107508923683782,0.01849506,-1.683315334096551,-0.048036132007837296,-0.9912542104721069,0.0002313114073331235,380
81920,40,444,200.0,0.0,184,0.2,0.189404296875,0.0003,-0.024241828979575074,0.020818414,-1.641919206082821,-0.049214836210012436,-1.4864816665649414,7.132001173317803e-05,390
83968,41,444,200.0,0.0,188,0.2,0.20439453125,0.0003,-0.02094773782446282,0.018119415,-1.6370186425745488,-0.0435873344540596,-1.070624828338623,0.0001323063065910901,400
86016,42,445,200.0,0.0,192,0.2,0.208642578125,0.0003,-0.01824154572968837,0.01876711,-1.6053235098719596,-0.05619917809963226,-1.7824113368988037,8.928397174372549e-05,410
88064,43,446,200.0,0.0,197,0.2,0.17373046875,0.0003,-0.018131306271243375,0.017785609,-1.5534520979970694,-0.03475360944867134,-3.3832435607910156,0.00010020173601787974,420
90112,44,447,200.0,0.0,201,0.2,0.1392578125,0.0003,-0.015265687358623835,0.014761621,-1.524650591239333,0.013090508058667183,-0.6811040639877319,5.497791024708931e-05,430
92160,45,447,200.0,0.0,205,0.2,0.12021484375,0.0003,-0.013035537880205084,0.01259926,-1.508502947166562,0.06905526667833328,-2.6199018955230713,0.00010964270668978315,440
94208,46,448,200.0,0.0,210,0.2,0.181494140625,0.0003,-0.020865699763817247,0.015975583,-1.4773707628250121,-0.03103441558778286,-1.0754497051239014,0.00010058451637746657,450
96256,47,448,200.0,0.0,214,0.2,0.126416015625,0.0003,-0.017218795410371968,0.010947096,-1.4923365641385318,-0.01491207629442215,-1.5437216758728027,0.00021885631020950312,460
98304,48,449,200.0,0.0,218,0.2,0.176318359375,0.0003,-0.020190171724243554,0.01767318,-1.4796377420425415,0.013369300402700901,-1.4755136966705322,3.6644087256831884e-05,470
100352,49,450,200.0,0.0,222,0.2,0.20859375,0.0003,-0.021976382864522748,0.035836093,-1.482700013741851,0.04092923551797867,-0.4647578001022339,4.669242889292491e-05,480
102400,50,450,200.0,0.0,227,0.2,0.185595703125,0.0003,-0.023548509921238293,0.01633222,-1.562414327263832,0.028062589466571808,-1.6814329624176025,5.322640601548301e-05,490
104448,51,451,200.0,0.0,231,0.2,0.168017578125,0.0003,-0.021544949676899704,0.015113072,-1.5467085540294647,-0.056961849331855774,0.07531076669692993,5.669714561236105e-05,500
106496,52,451,200.0,0.0,235,0.2,0.139306640625,0.0003,-0.01954014304210432,0.013332795,-1.5072287004441023,0.0033925878815352917,-3.9154915809631348,5.885305495780813e-05,510
108544,53,452,200.0,0.0,239,0.2,0.14267578125,0.0003,-0.01710401294840267,0.013196951,-1.5049499306827783,-0.019427932798862457,-1.8356149196624756,0.00010088956848335329,520
110592,54,452,200.0,0.0,244,0.2,0.1607421875,0.0003,-0.022956607903324766,0.018110814,-1.5171359706670047,-0.05978325754404068,-2.06697678565979,6.093396190181011e-05,530
112640,55,453,200.0,0.0,248,0.2,0.184423828125,0.0003,-0.02657620017635054,0.023396626,-1.4960281662642956,-0.03753508999943733,-3.0621228218078613,3.645727519767661e-05,540
114688,56,453,200.0,0.0,252,0.2,0.146533203125,0.0003,-0.01898772473577992,0.013676629,-1.5254953660070896,-0.011306124739348888,-2.3404886722564697,4.495024060133801e-05,550
116736,57,454,200.0,0.0,257,0.2,0.1537109375,0.0003,-0.02103927112184465,0.016419115,-1.4844911757856607,-0.044954102486371994,-0.7222270965576172,4.4972840541390724e-05,560
118784,58,454,200.0,0.0,261,0.2,0.19267578125,0.0003,-0.0231530671735527,0.022387125,-1.4642326969653368,0.00495367543771863,0.5112153887748718,7.838261081474229e-05,570
120832,59,454,200.0,0.0,265,0.2,0.1490234375,0.0003,-0.018429737868427765,0.013035725,-1.4815748557448387,-0.016243087127804756,-1.732290267944336,7.55194163161832e-05,580
122880,60,454,200.0,0.0,270,0.2,0.150390625,0.0003,-0.017836589251237454,0.01760845,-1.4812767677009107,-0.007674360182136297,0.3120368719100952,7.858310640358468e-05,590
124928,61,455,200.0,0.0,274,0.2,0.170947265625,0.0003,-0.018843350685347104,0.016279131,-1.4958320032805204,-0.03686106950044632,-2.4260964393615723,4.1406449588521356e-05,600
126976,62,455,200.0,0.0,278,0.2,0.172998046875,0.0003,-0.02351124731794698,0.035133235,-1.4970621474087238,-0.062439095228910446,-1.370917797088623,2.1702942325418918e-05,610
129024,63,455,200.0,0.0,283,0.2,0.144677734375,0.0003,-0.0164252879912965,0.014242192,-1.5315085016191006,-0.05199231207370758,-1.6946637630462646,0.00011330337540869096,620
131072,64,455,200.0,0.0,287,0.2,0.160498046875,0.0003,-0.01756554497987963,0.022574391,-1.4870128773152829,-0.02659461461007595,-0.30931079387664795,1.9966722398123693e-05,630
133120,65,454,200.0,0.0,292,0.2,0.1564453125,0.0003,-0.02251302851582295,0.013313339,-1.4586747705936431,-0.045325957238674164,-2.386556625366211,4.555153622902708e-05,640
135168,66,454,200.0,0.0,297,0.2,0.177099609375,0.0003,-0.023372049214958678,0.015814248,-1.4934601981192828,-0.03553025797009468,-0.39698660373687744,1.699505126424583e-05,650
137216,67,454,200.0,0.0,301,0.2,0.169189453125,0.0003,-0.017020498635974945,0.01564359,-1.5041156869381667,-0.04187594726681709,-1.6191954612731934,1.8996275927918303e-05,660
139264,68,454,200.0,0.0,306,0.2,0.1796875,0.0003,-0.01926890873728553,0.01855988,-1.4440846342593432,-0.015435486100614071,0.045883238315582275,1.214712993800049e-05,670
141312,69,455,200.0,0.0,310,0.2,0.22568359375,0.0003,-0.020120824797777458,0.022564158,-1.4262336038053036,-0.0028595440089702606,-0.6799952983856201,1.7085918165804515e-05,680
143360,70,455,200.0,0.0,314,0.2,0.1564453125,0.0003,-0.01662232890521409,0.012408543,-1.4544567488133908,-0.045635782182216644,-0.17920362949371338,3.3626334257519375e-05,690
145408,71,455,200.0,0.0,319,0.2,0.249365234375,0.0003,-0.018476413677854,0.028376263,-1.5282926801592112,-0.024265404790639877,-0.3468219041824341,5.983359544075029e-05,700
147456,72,454,200.0,0.0,324,0.2,0.21015625,0.0003,-0.029383498658717144,0.01706655,-1.4742350678890943,-0.053885892033576965,-0.3576000928878784,1.1570788142023503e-05,710
149504,73,454,200.0,0.0,328,0.2,0.168310546875,0.0003,-0.018078733619768174,0.015775884,-1.4332178473472594,-0.009460960514843464,0.564696192741394,3.1360027062987686e-05,720
151552,74,454,200.0,0.0,333,0.2,0.161572265625,0.0003,-0.018172887017135507,0.013860831,-1.418926380202174,-0.04240242391824722,0.08837532997131348,2.144612714118921e-05,730
153600,75,454,200.0,0.0,337,0.2,0.169580078125,0.0003,-0.018777452380163595,0.02227636,-1.3954126838594676,-0.03265739604830742,-2.5775516033172607,5.179850327863278e-06,740
155648,76,454,200.0,0.0,342,0.2,0.203759765625,0.0003,-0.019197118566808058,0.022397988,-1.3999609343707562,-0.04856276139616966,-3.086132526397705,1.63772395858075e-05,750
157696,77,454,200.0,0.0,346,0.2,0.290380859375,0.0003,-0.020282897203287575,0.0234572,-1.418486162275076,-0.05330030247569084,0.34435611963272095,2.3014892621020523e-06,760
159744,78,453,200.0,0.0,351,0.2,0.198486328125,0.0003,-0.014058683066105004,0.014007149,-1.366214783489704,-0.04435783997178078,-0.5279144048690796,1.0075559112721066e-05,770
161792,79,453,200.0,0.0,356,0.2,0.1197265625,0.0003,-0.010543720514397137,0.011675462,-1.3499009903520345,-0.018055541440844536,0.7206861972808838,2.589994904358406e-05,780
163840,80,453,200.0,0.0,361,0.2,0.12626953125,0.0003,-0.014271049687522464,0.013221618,-1.3591026168316602,-0.023357361555099487,0.7143768072128296,7.604208419920156e-06,790
165888,81,453,200.0,0.0,365,0.2,0.20419921875,0.0003,-0.014911130115069681,0.021221107,-1.3100379105657338,-0.057458311319351196,0.5115727186203003,7.777439753775539e-07,800
167936,82,453,200.0,0.0,370,0.2,0.079150390625,0.0003,-0.011801850760093657,0.011442849,-1.4229483589529992,-0.044242165982723236,-4.090877532958984,9.839325491656226e-06,810
169984,83,453,200.0,0.0,374,0.2,0.062255859375,0.0003,-0.011616899193177233,0.010976315,-1.4211305174976587,-0.036530379205942154,-0.42568111419677734,1.9698946880986058e-05,820
172032,84,454,200.0,0.0,378,0.2,0.1951171875,0.0003,-0.010796293681050884,0.022580832,-1.3823239471763373,-0.025328628718852997,0.10372143983840942,9.215813225438296e-06,830
174080,85,454,200.0,0.0,383,0.2,0.142626953125,0.0003,-0.007016940795438131,0.012137894,-1.4493584338575602,-0.008817768655717373,0.7665693163871765,1.422154721342217e-06,840
176128,86,454,200.0,0.0,387,0.2,0.25390625,0.0003,-0.014845918400533264,0.016613249,-1.3969335705041885,-0.02772802673280239,-0.4241943359375,7.73980600768942e-06,850
178176,87,454,200.0,0.0,391,0.2,0.226513671875,0.0003,-0.009703849755896953,0.012463141,-1.4372994001954793,-0.008885624818503857,-6.320754051208496,9.913588366883275e-07,860
180224,88,454,200.0,0.0,396,0.2,0.169140625,0.0003,-0.00495645910850726,0.0162948,-1.4158336762338877,-0.019349943846464157,0.56544029712677,1.64539770605987e-05,870
182272,89,455,200.0,0.0,400,0.2,0.081201171875,0.0003,-0.010439237373066134,0.007845332,-1.4131564240902663,0.014048299752175808,-13.277934074401855,5.930112857814585e-07,880
184320,90,455,200.0,0.0,404,0.2,0.08037109375,0.0003,-0.00870647799456492,0.007877035,-1.362072704359889,-0.03637465462088585,-3.694784164428711,8.833047576116415e-08,890
186368,91,455,200.0,0.0,409,0.2,0.062646484375,0.0003,-0.0046458034303213935,0.013235547,-1.380978263169527,-0.001348312827758491,-25.955150604248047,1.603296073085514e-07,900
188416,92,455,200.0,0.0,413,0.2,0.091748046875,0.0003,-0.004243861381110037,0.01064976,-1.3751295942813158,-0.03099099174141884,-0.13076210021972656,2.383290381981554e-06,910
190464,93,455,200.0,0.0,417,0.2,0.088232421875,0.0003,-0.013176876047509722,0.017820992,-1.3289232056587934,-0.04802416265010834,0.4765276312828064,3.677024725812217e-06,920
192512,94,456,200.0,0.0,422,0.2,0.155859375,0.0003,-0.017573707397968975,0.014238502,-1.2867052979767322,0.012669547460973263,0.4912618398666382,4.353620396528868e-05,930
194560,95,456,200.0,0.0,426,0.2,0.06162109375,0.0003,0.03991427444198052,0.020864438,-1.3018822073936462,-0.021357202902436256,0.039852678775787354,8.235274985679553e-05,940
196608,96,456,200.0,0.0,430,0.2,0.18681640625,0.0003,-0.005470361423067516,0.011687109,-1.2419807232916356,0.0019029154209420085,0.7644504308700562,1.5246394807544305e-06,950
198656,97,456,200.0,0.0,434,0.2,0.03271484375,0.0003,-0.004346043898840435,0.0052506616,-1.2994918037205934,-0.011483578942716122,-23.917381286621094,1.492746926723236e-08,960
200704,98,456,200.0,0.0,439,0.2,0.114013671875,0.0003,-0.004572896984609542,0.018443294,-1.292981729283929,-0.030344633385539055,-1.3426291942596436,2.2605698976468913e-06,970
